"Sample","Codec","Original size (KB)","Compressed size (KB)","Bitrate (Kbit/s)","Rate","MOS-LQO speech","MOS-LQO audio","MSE","AVG Absolute Error"
"05_countertenorA",".m4a","213.154296875","20.98046875","64","10.1596536957736","4.93032","4.6669","0.2068583718700949","0.0003346812923493098"
"05_countertenorA",".mp3","213.154296875","19.8388671875","64","10.74427762736894","4.95771","4.67735","0.2049059574357036","0.00033415673678961755"
"05_countertenorA",".opus","213.154296875","27.1533203125","64","7.850026973565906","4.95816","4.6824","0.20629634532969032","0.00033654329824381107"
"05_countertenorA",".m4a","213.154296875","3.7734375","8","56.48809523809524","3.71934","4.28177","0.20691742994428852","0.00033771119305447793"
"05_countertenorA",".opus","213.154296875","2.833984375","8","75.21364576154376","3.61601","3.80944","0.19018448236118898","0.00034404042959768874"
"05_countertenorA",".m4a","213.154296875","25.9140625","80","8.225429605064818","4.95787","4.67764","0.20695091526574372","0.00033471302017799246"
"05_countertenorA",".mp3","213.154296875","24.7890625","80","8.598723605420737","4.98933","4.69958","0.20673666470445837","0.0003348527489912455"
"05_countertenorA",".opus","213.154296875","31.4580078125","80","6.775835842672213","4.95945","4.70955","0.20635079620075514","0.00033574907588584707"
"05_countertenorA",".m4a","213.154296875","30.8134765625","96","6.917567267771686","4.97566","4.71247","0.20684783626898953","0.0003344239208225895"
"05_countertenorA",".mp3","213.154296875","29.7373046875","96","7.167909099865358","4.99527","4.71457","0.2068801379171992","0.00033464439814121633"
"05_countertenorA",".opus","213.154296875","35.2314453125","96","6.050115031737672","4.98539","4.71546","0.20639884998974342","0.00033555210945450994"
"06_countertenorB",".m4a","208.36328125","34.671875","112","6.009576385759351","4.99763","4.73058","0.1792615548775221","0.00019587220949860427"
"06_countertenorB",".mp3","208.36328125","33.9716796875","112","6.133440653117544","4.99941","4.73055","0.17915776042735543","0.00019588507204163101"
"06_countertenorB",".opus","208.36328125","41.626953125","112","5.005489607281941","4.99359","4.73037","0.1790225606993898","0.00019602816571239284"
"06_countertenorB",".m4a","208.36328125","39.365234375","128","5.293078640535847","4.99973","4.73117","0.179139366662512","0.0001957822895588545"
"06_countertenorB",".mp3","208.36328125","38.818359375","128","5.367647798742138","4.99953","4.73077","0.17906533934044325","0.00019578024945051482"
"06_countertenorB",".opus","208.36328125","46.2021484375","128","4.509818012724313","4.99583","4.73052","0.17905706554358705","0.00019602820205806657"
"06_countertenorB",".m4a","208.36328125","6.123046875","16","34.029346092503985","4.66912","4.69441","0.17917583579349822","0.00019468401176484792"
"06_countertenorB",".opus","208.36328125","6.724609375","16","30.985187336625035","4.27773","4.37125","0.17019364650377472","0.0002100779256566573"
"06_countertenorB",".m4a","208.36328125","48.7900390625","160","4.270611076639779","4.99923","4.73192","0.17914679259414598","0.00019578553648743526"
"06_countertenorB",".mp3","208.36328125","48.5126953125","160","4.295025867101476","4.99979","4.73111","0.17910242962759496","0.00019579616392048678"
"06_countertenorB",".opus","208.36328125","55.3740234375","160","3.762834417932032","4.99595","4.73049","0.1791016490012119","0.0001960252124458213"
"06_countertenorB",".m4a","208.36328125","58.267578125","192","3.5759729158985016","4.99973","4.73204","0.17912715184733585","0.000195758997796438"
"06_countertenorB",".mp3","208.36328125","58.2060546875","192","3.5797526970118954","4.99989","4.73119","0.17910955947478324","0.00019580606161897785"
"06_countertenorB",".opus","208.36328125","64.5712890625","192","3.226871946885256","4.9974","4.7308","0.17906555910974045","0.00019594491461787198"
"06_countertenorB",".m4a","208.36328125","67.2119140625","224","3.100094442426444","4.99984","4.732","0.17913385077805932","0.00019578705205567143"
"06_countertenorB",".mp3","208.36328125","67.900390625","224","3.0686610096361284","4.99993","4.73121","0.1791004791467722","0.00019579432740689744"
"06_countertenorB",".opus","208.36328125","73.59375","224","2.8312632696390656","4.99804","4.7309","0.1791074777663466","0.00019596231894105536"
"06_countertenorB",".m4a","208.36328125","8.4853515625","24","24.555645068477386","4.98264","4.70708","0.17899236804875865","0.00019558323579330276"
"06_countertenorB",".opus","208.36328125","11.9921875","24","17.374918566775243","4.92739","4.69527","0.17902522681930697","0.0001982223123278337"
"06_countertenorB",".m4a","208.36328125","70.0166015625","256","2.9759125207470327","4.99983","4.73202","0.17913396227378545","0.00019578574928221656"
"06_countertenorB",".mp3","208.36328125","77.59375","256","2.685310108739428","4.99995","4.73121","0.1790954505322448","0.00019578854533147352"
"06_countertenorB",".opus","208.36328125","82.486328125","256","2.5260341439158953","4.99844","4.73079","0.1790422245080965","0.00019584519876554324"
"06_countertenorB",".m4a","208.36328125","10.884765625","32","19.142652072492375","4.99356","4.70794","0.17934581099799635","0.00019592696988691432"
"06_countertenorB",".mp3","208.36328125","9.8134765625","32","21.232361428997912","4.94643","4.70347","0.17499245079073442","0.0001950921707978855"
"06_countertenorB",".opus","208.36328125","15.146484375","32","13.756544165054803","4.95081","4.70563","0.17907730833070623","0.00019768506726755978"
"06_countertenorB",".m4a","208.36328125","70.3359375","320","2.9624014217483063","4.99983","4.73202","0.17913396532211734","0.00019578580357425789"
"06_countertenorB",".mp3","208.36328125","96.9814453125","320","2.148486038526216","4.99995","4.73124","0.17909552596221678","0.00019578873231881737"
"06_countertenorB",".m4a","208.36328125","13.24609375","40","15.730168092008258","4.97907","4.71992","0.17930285882301378","0.0001961097492012444"
"06_countertenorB",".mp3","208.36328125","12.2109375","40","17.063659628918746","4.96101","4.70915","0.1790095426092646","0.00019875549925452602"
"06_countertenorB",".opus","208.36328125","17.96484375","40","11.598390954555338","4.96353","4.70679","0.1792809526601643","0.00019747020449673673"
"06_countertenorB",".m4a","208.36328125","15.6728515625","48","13.294535485076953","4.98155","4.72337","0.1790854797110845","0.0001958754799885119"
"06_countertenorB",".mp3","208.36328125","14.609375","48","14.262299465240641","4.97903","4.71779","0.17664112113998284","0.00019523994653348063"
"06_countertenorB",".opus","208.36328125","22.5439453125","48","9.242538444877626","4.98102","4.72717","0.17887789230905954","0.0001966220724313596"
"06_countertenorB",".m4a","208.36328125","20.44921875","64","10.189302769818529","4.98483","4.72055","0.1791483865098235","0.00019590131805126388"
"06_countertenorB",".mp3","208.36328125","19.4306640625","64","10.723425642056592","4.98697","4.72134","0.17958843597582944","0.00019769632296330104"
"06_countertenorB",".opus","208.36328125","28.443359375","64","7.325551054041063","4.98649","4.72919","0.17899490476677063","0.00019637992308382525"
