"Sample","Original duration (ms)","Original size (KB)","Original sample rate (fps)","Bitrate (Kbit/s)","ACC compression time (ms)","ACC Comp Time / Orig dur","ACC size (KB)","ACC rate","ACC sample rate","ACC Bit Rate","Opus compression time (ms)","Opus Comp Time / Orig dur","Opus size (KB)","Opus rate","Opus sample rate","Opus Bit Rate"
"09_cello","3463.8779999999997","298.923828125","44100","160","161","0.0464796970332096","69.0947265625","4.326290051305245","44100","159082","150","0.043304065558890936","70.5205078125","4.238821264869206","48000","166466"
"09_cello","3463.8779999999997","298.923828125","44100","192","129","0.0372414963806462","82.16015625","3.638306470784006","44100","189776","162","0.04676839080360221","83.6064453125","3.5753682267879876","48000","197356"
"09_cello","3463.8779999999997","298.923828125","44100","224","153","0.044170146870068754","90.9423828125","3.286958389261745","44100","210407","152","0.04388145309967615","96.8203125","3.0874082143145323","48000","228547"
"09_cello","3463.8779999999997","298.923828125","44100","256","181","0.05225357244106173","93.716796875","3.1896505012191816","44100","216925","133","0.03839627146221663","109.830078125","2.721693667419487","48000","259258"
"09_cello","3463.8779999999997","298.923828125","44100","320","188","0.05427442883380997","93.9228515625","3.182652817201618","44100","217409",,,,,,
"10_saxophone","19824.603","1708.162109375","44100","8","151","0.007616798177496922","24.232421875","70.49077133876038","44100","8297","297","0.014981384494811826","17.6328125","96.87405848471423","48000","7283"
"10_saxophone","19824.603","1708.162109375","44100","16","170","0.008575203246188587","43.654296875","39.12930070242942","44100","16314","227","0.011450418452263585","71.2822265625","23.963366350197965","48000","29445"
"10_saxophone","19824.603","1708.162109375","44100","24","200","0.01008847440728069","63.0771484375","27.08052205415615","44100","24330","218","0.010996437103935953","113.3046875","15.07582913879887","48000","46804"
"10_saxophone","19824.603","1708.162109375","44100","32","223","0.011248648964117971","82.5400390625","20.694951550502243","44100","32363","241","0.012156611660773232","142.70703125","11.969712314893384","48000","58950"
"10_saxophone","19824.603","1708.162109375","44100","40","210","0.010592898127644726","101.80859375","16.77817212139815","44100","40316","233","0.011753072684482006","161.6083984375","10.56976076670675","48000","66758"
"10_saxophone","19824.603","1708.162109375","44100","48","260","0.013115016729464898","121.234375","14.089750612192292","44100","48334","266","0.01341767096168332","190.650390625","8.959657012897873","48000","78755"
"10_saxophone","19824.603","1708.162109375","44100","64","276","0.013922094682047354","160.046875","10.672886361417554","44100","64354","293","0.014779615006666212","231.0478515625","7.393109686254454","48000","95443"
"10_saxophone","19824.603","1708.162109375","44100","80","327","0.01649465565590393","198.86328125","8.589630517197351","44100","80375","260","0.013115016729464898","269.1728515625","6.345967282582274","48000","111192"
"10_saxophone","19824.603","1708.162109375","44100","96","237","0.011954842172627619","237.7392578125","7.185023311220194","44100","96420","241","0.012156611660773232","306.41796875","5.574614688372449","48000","126577"
"10_saxophone","19824.603","1708.162109375","44100","112","352","0.017755714956814016","276.4697265625","6.178477949877254","44100","112406","274","0.013821209937974546","343.568359375","4.971826021704651","48000","141924"
"10_saxophone","19824.603","1708.162109375","44100","128","281","0.01417430654222937","315.220703125","5.418940102730602","44100","128400","259","0.013064574357428495","380.7109375","4.48676920235579","48000","157267"
