"Sample","Original size (KB)","Compressed size (KB)","q","qxy","Rate","MOS-LQO speech","MOS-LQO audio","MSE","AVG Absolute Error"
"04_baritone","158.439453125","13.224609375","0.70","0.40","11.980652783931472","1.83304","2.18429","0.045658321599541314","0.0004115866217855491"
"04_baritone","158.439453125","11.513671875","0.70","0.50","13.760983884648006","1.67591","2.14818","0.06425324037524009","0.0004736981657891009"
"04_baritone","158.439453125","9.802734375","0.70","0.60","16.162781430563857","1.6556","2.16268","0.08143535848862246","0.0006518965020667138"
"04_baritone","158.439453125","8.091796875","0.70","0.70","19.580255853246438","1.59701","2.28942","0.10796062535345541","0.0009373152588850975"
"04_baritone","158.439453125","8.091796875","0.70","0.80","19.580255853246438","1.59701","2.28942","0.10796062535345541","0.0009373152588850975"
"04_baritone","158.439453125","8.091796875","0.70","0.90","19.580255853246438","1.59701","2.28942","0.10796062535345541","0.0009373152588850975"
"04_baritone","158.439453125","8.091796875","0.70","1.00","19.580255853246438","1.59701","2.28942","0.10796062535345541","0.0009373152588850975"
"04_baritone","158.439453125","2.904296875","0.80","0.00","54.55346334902488","3.96567","2.83921","0.033341339012178305","0.0002871089452423695"
"04_baritone","158.439453125","63.748046875","0.80","0.10","2.485400900762891","3.18928","2.95746","0.00443721512516239","0.00019778913788149463"
"04_baritone","158.439453125","32.498046875","0.80","0.20","4.875353086122964","2.45448","2.45314","0.006271688746157648","0.00024129270798030396"
"04_baritone","158.439453125","22.732421875","0.80","0.30","6.969756851963227","1.91784","2.19321","0.017879725625980683","0.0003448487505576608"
"04_baritone","158.439453125","16.873046875","0.80","0.40","9.390091445769187","1.85749","2.46817","0.03081520576959653","0.00036888626183649847"
"04_baritone","158.439453125","12.966796875","0.80","0.50","12.218858261786414","1.67591","2.14753","0.058375368244919075","0.00041728702992896384"
"04_baritone","158.439453125","11.013671875","0.80","0.60","14.38570668558255","1.65509","2.16374","0.07673565776796648","0.0005104107162445969"
"04_baritone","158.439453125","9.060546875","0.80","0.70","17.486742832507005","1.59676","2.27478","0.08471207177677527","0.000566004907418739"
"04_baritone","158.439453125","9.060546875","0.80","0.80","17.486742832507005","1.59676","2.27478","0.08471207177677527","0.000566004907418739"
"04_baritone","158.439453125","9.060546875","0.80","0.90","17.486742832507005","1.59676","2.27478","0.08471207177677527","0.000566004907418739"
"04_baritone","158.439453125","9.060546875","0.80","1.00","17.486742832507005","1.59676","2.27478","0.08471207177677527","0.000566004907418739"
"04_baritone","158.439453125","3.107421875","0.90","0.00","50.98742928975487","3.96654","2.83716","0.033336596166654436","0.00028709427403125965"
"04_baritone","158.439453125","78.083984375","0.90","0.10","2.0290902723930064","3.37198","2.88408","0.00332592593814703","0.00014768123759741943"
"04_baritone","158.439453125","38.568359375","0.90","0.20","4.108016407555578","2.35921","2.57937","0.005399765494254689","0.00021107504657450464"
"04_baritone","158.439453125","27.591796875","0.90","0.30","5.742266581722942","2.27503","2.38737","0.014135958961483966","0.0003198668150875241"
"04_baritone","158.439453125","18.810546875","0.90","0.40","8.42290520195203","1.85585","2.46635","0.03366248439934058","0.0003929439373792625"
"04_baritone","158.439453125","14.419921875","0.90","0.50","10.98753894080997","1.67618","2.14714","0.06797982835323711","0.0004928164851509987"
"04_baritone","158.439453125","12.224609375","0.90","0.60","12.960696596900464","1.65648","2.16413","0.07910925500959441","0.0006231291743653787"
"04_baritone","158.439453125","10.029296875","0.90","0.70","15.797663096397274","1.5978","2.289","0.10135326337212505","0.0008846141841948606"
"04_baritone","158.439453125","10.029296875","0.90","0.80","15.797663096397274","1.5978","2.289","0.10135326337212505","0.0008846141841948606"
"04_baritone","158.439453125","10.029296875","0.90","0.90","15.797663096397274","1.5978","2.289","0.10135326337212505","0.0008846141841948606"
"04_baritone","158.439453125","10.029296875","0.90","1.00","15.797663096397274","1.5978","2.289","0.10135326337212505","0.0008846141841948606"
"04_baritone","158.439453125","3.310546875","1.00","0.00","47.858997050147494","3.96579","2.84189","0.03335078250621056","0.00028712790674010377"
"04_baritone","158.439453125","96.310546875","1.00","0.10","1.6450893309809171","3.11544","3.01856","0.0329808895426972","0.0009704611920821023"
"04_baritone","158.439453125","47.560546875","1.00","0.20","3.3313210956428896","2.29167","2.71433","0.03323022964728846","0.0009528055374991697"
"04_baritone","158.439453125","32.935546875","1.00","0.30","4.810591235248769","1.94417","2.69468","0.0451378686787743","0.0011024612426135997"
"04_baritone","158.439453125","23.185546875","1.00","0.40","6.833543930587145","1.82603","2.39677","0.06086603442521258","0.0011495275942600127"
"04_baritone","158.439453125","18.310546875","1.00","0.50","8.652906666666667","1.78022","2.19373","0.06399952576606804","0.0011225987270618194"
"04_baritone","158.439453125","15.873046875","1.00","0.60","9.981666051433493","1.65325","2.15635","0.08797442475227116","0.0012075976800199522"
"04_baritone","158.439453125","13.435546875","1.00","0.70","11.792557057711877","1.65724","2.18702","0.10285366471554488","0.0011938290051401773"
"04_baritone","158.439453125","10.998046875","1.00","0.80","14.406144556917067","1.5971","2.3134","0.1091972873191025","0.0011782703350304488"
"04_baritone","158.439453125","10.998046875","1.00","0.90","14.406144556917067","1.5971","2.3134","0.1091972873191025","0.0011782703350304488"
"04_baritone","158.439453125","10.998046875","1.00","1.00","14.406144556917067","1.5971","2.3134","0.1091972873191025","0.0011782703350304488"
"05_countertenorA","212.814453125","1.791015625","0.10","0.00","118.82333696837513","3.71758","4.23415","0.015382779934152217","0.00011085040918732679"
"05_countertenorA","212.814453125","3.107421875","0.10","0.10","68.48585795097424","1.69615","1.73581","0.10127225929506639","0.0004697762834764212"
"05_countertenorA","212.814453125","2.583984375","0.10","0.20","82.35903250188964","1.58049","1.77996","0.13496431830969394","0.0005910350132599646"
"05_countertenorA","212.814453125","2.322265625","0.10","0.30","91.64087468460892","1.58563","1.72817","0.14187944290061758","0.0006256275060063808"
"05_countertenorA","212.814453125","2.322265625","0.10","0.40","91.64087468460892","1.58563","1.72817","0.14187944290061758","0.0006256275060063808"
"05_countertenorA","212.814453125","2.322265625","0.10","0.50","91.64087468460892","1.58563","1.72817","0.14187944290061758","0.0006256275060063808"
"05_countertenorA","212.814453125","2.322265625","0.10","0.60","91.64087468460892","1.58563","1.72817","0.14187944290061758","0.0006256275060063808"
"05_countertenorA","212.814453125","2.322265625","0.10","0.70","91.64087468460892","1.58563","1.72817","0.14187944290061758","0.0006256275060063808"
"05_countertenorA","212.814453125","2.322265625","0.10","0.80","91.64087468460892","1.58563","1.72817","0.14187944290061758","0.0006256275060063808"
"05_countertenorA","212.814453125","2.322265625","0.10","0.90","91.64087468460892","1.58563","1.72817","0.14187944290061758","0.0006256275060063808"
"05_countertenorA","212.814453125","2.322265625","0.10","1.00","91.64087468460892","1.58563","1.72817","0.14187944290061758","0.0006256275060063808"
"05_countertenorA","212.814453125","2.244140625","0.20","0.00","94.83115752828546","3.75822","4.23539","0.015378857531748046","0.00011039659633433935"
